ID,w3-assessment-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w3-14,w3-15,w4-assessment-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13,w4-14,w4-15
1,1,94,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,35,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0
2,3,27,2,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,97,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2
3,2,48,2,1,1,1,1,1,1,0,1,1,1,2,2,1,1,1,35,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
4,2,95,1,2,2,1,1,1,2,0,0,0,1,1,2,0,2,2,71,1,2,2,2,1,2,2,1,1,0,2,2,2,1,2
5,1,55,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,3,20,2,0,1,2,1,1,1,1,0,1,2,1,1,1,0
6,2,46,1,1,1,0,1,1,1,1,0,1,1,2,1,1,1,2,90,1,1,2,2,1,2,2,0,2,2,2,2,1,2,2
7,2,69,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,3,94,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1
8,4,40,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,4,117,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
9,2,93,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,3,46,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1
10,4,37,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,4,14,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2
11,3,101,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,4,47,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
12,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,57,1,1,2,2,1,2,1,1,1,2,1,2,1,2,2
13,2,107,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,85,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1
14,3,63,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,4,59,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
15,1,5,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,2,30,0,0,1,1,1,2,1,1,2,1,1,1,1,1,1
16,4,12,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,3,20,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1
17,1,84,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,69,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1
18,3,112,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,4,9,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
19,1,69,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,3,9,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1
20,3,65,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,4,108,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2
21,3,54,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2,3,23,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2
22,3,116,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,4,109,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2
23,4,35,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,4,43,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2
24,1,97,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,3,16,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1
25,3,106,2,1,2,2,1,2,1,1,2,2,1,1,2,2,2,4,94,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2
26,2,13,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,66,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1
27,3,99,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,4,42,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
28,2,62,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,4,72,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2
29,3,13,2,1,2,1,2,1,2,2,2,2,1,2,1,2,1,4,106,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2
30,2,57,1,2,1,1,1,0,1,1,1,0,1,0,1,1,1,3,22,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1
31,2,119,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,78,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1
32,3,88,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,3,96,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2
33,4,64,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,4,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
34,4,75,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,4,20,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2
35,1,87,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,3,107,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1
36,3,114,2,2,1,2,1,1,2,2,1,2,1,1,2,1,1,3,86,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1
37,2,2,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,3,21,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2
38,2,79,1,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,10,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2
39,4,104,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,29,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1
40,4,15,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,4,0,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2
41,2,86,2,1,1,2,1,1,2,1,1,1,1,2,1,1,2,3,79,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2
42,3,25,2,2,1,1,1,2,1,2,1,1,2,2,1,2,2,4,35,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2
43,4,80,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,52,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
44,1,23,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,2,87,0,1,1,1,1,1,1,2,1,2,1,2,1,1,1
45,2,58,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,7,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1
46,3,67,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,3,10,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2
47,2,100,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,3,107,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1
48,3,29,1,2,1,1,2,2,1,2,1,2,2,1,2,2,2,3,103,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2
49,3,98,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,4,110,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
50,2,82,1,2,1,0,1,1,1,1,1,1,1,0,2,2,1,3,105,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1
51,1,110,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,2,64,0,1,1,2,1,2,1,2,2,1,1,2,2,1,1
52,1,81,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,2,63,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1
53,1,4,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,2,66,1,1,1,1,1,2,1,2,1,2,1,2,2,1,0
54,2,7,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,79,1,1,1,2,1,2,1,1,1,2,2,2,2,2,0
55,3,14,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,4,116,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2
56,1,20,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,3,45,1,1,2,1,1,2,1,1,1,2,1,2,2,1,0
57,3,76,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,4,115,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2
58,4,53,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,108,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
59,4,84,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,80,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
60,2,111,1,2,1,0,1,1,2,1,1,1,1,1,1,2,1,2,49,1,2,2,2,1,2,2,2,2,1,2,1,2,2,1
61,3,50,2,1,2,1,2,1,2,1,2,2,1,1,2,2,2,4,26,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2
62,4,102,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,4,82,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
63,2,26,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,32,1,1,1,2,1,2,1,2,2,2,2,1,2,2,0
64,4,117,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,4,67,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
65,4,26,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,8,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
66,2,118,2,1,1,1,2,1,1,1,1,2,1,2,1,2,2,3,15,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1
67,3,65,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,74,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1
68,4,57,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,4,45,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2
69,3,74,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,4,60,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
70,3,107,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,3,4,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1
71,1,59,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,2,101,1,1,1,1,2,2,1,2,1,2,1,2,1,2,0
72,1,41,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,2,73,0,1,1,1,1,1,1,2,1,1,1,2,1,2,0
73,1,18,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,2,113,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1
74,4,107,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,4,77,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2
75,2,10,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,3,24,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1
76,2,0,1,1,1,1,1,1,1,0,1,0,1,1,2,1,1,2,104,1,1,2,2,1,2,1,2,1,2,2,2,2,2,0
77,4,68,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,4,36,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
78,1,119,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,3,109,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1
79,3,86,1,1,2,1,2,1,2,2,2,2,1,2,1,2,2,4,78,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
80,4,43,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,65,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2
81,2,93,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,2,6,1,1,1,1,1,2,1,1,2,1,2,1,2,2,0
82,1,113,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,3,104,1,1,2,1,1,2,1,2,1,2,2,1,2,2,1
83,4,38,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,4,7,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
84,4,32,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,6,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2
85,1,35,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,2,79,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1
86,3,56,1,2,1,1,2,2,2,1,2,2,1,1,2,2,1,3,70,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1
87,3,16,1,2,1,1,2,1,2,1,2,1,1,1,2,2,2,4,52,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
88,1,46,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,2,83,0,1,1,1,2,2,1,2,2,2,1,2,2,2,1
89,3,31,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,3,15,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2
90,3,22,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,4,94,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
91,1,91,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,85,0,1,1,1,2,1,1,2,1,2,1,2,1,2,1
92,3,0,2,2,1,1,1,2,1,1,2,2,1,1,2,2,2,4,34,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2
93,3,40,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,3,75,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2
94,1,81,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,3,113,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1
95,2,77,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,3,31,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1
96,4,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,36,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
97,2,87,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,105,1,1,2,2,1,2,1,2,2,2,1,2,2,2,1
98,3,57,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,4,41,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2
99,1,26,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,3,48,1,1,2,1,1,2,1,2,1,2,2,2,1,2,0
100,1,37,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,2,111,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1
