ID,w3-assessment-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w4-assessment-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13
1,1,79,1,1,1,1,1,2,2,1,1,1,2,0,0,3,21,1,1,1,1,2,1,1,1,1,1,2,1,1
2,1,41,0,0,0,1,0,1,1,1,0,1,0,0,1,3,32,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,87,1,1,1,2,2,2,1,1,1,0,1,2,1,2,75,2,2,1,2,1,2,2,2,2,2,1,1,2
4,4,0,2,2,2,2,2,2,2,1,2,1,2,1,1,2,35,2,2,1,2,1,1,1,1,1,1,1,1,1
5,2,78,1,2,2,2,2,2,2,2,2,2,2,1,1,2,35,1,2,1,2,2,1,1,1,2,1,1,1,1
6,4,70,2,2,2,2,2,2,2,1,2,1,2,2,1,4,29,2,2,2,2,1,2,2,2,2,2,2,2,2
7,2,10,2,1,0,1,1,0,1,0,0,0,1,1,0,3,0,2,1,1,1,2,2,1,2,1,1,2,1,1
8,4,109,2,2,2,2,2,2,2,2,2,2,2,2,1,4,36,2,2,2,2,2,2,2,2,2,2,2,2,1
9,4,61,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,2,2,2,2,2,2,2,2,2,2,2,2,2
10,2,67,1,2,1,1,1,1,1,1,1,2,1,2,1,4,76,2,2,2,2,2,2,2,2,2,2,2,2,2